,precision,recall,rscore,threshold,mag
0,1,0.304707587,,0,0
1,0.500318468,0.337289542,0.334283352,50,0
2,0.632945955,0.192075327,0.191081285,100,4
3,0.686786294,0.018557701,0.018505296,150,4.64368538
4,,0,0,200,6.116032499
5,,,,250,9.483836246
